snapshot_id,floor_id,modality,mean,max,slope,variance,zScoreVsHistory,label
snapshot_0000,floor_0,Motion,0.4303,0.4474,0.2934,0.223,2.8027,OccupancySurge
snapshot_0000,floor_0,CO2,671.897,712.9944,0.0928,128.475,3.6983,OccupancySurge
snapshot_0000,floor_0,Power,0.0992,0.2075,-0.1934,0.4338,-2.0053,OccupancySurge
snapshot_0000,floor_0,Humidity,48.6794,65.5432,0.1122,12.714,0.7359,OccupancySurge
snapshot_0000,floor_0,Smoke,0.0535,0.0648,-0.0467,0.0179,3.3514,OccupancySurge
snapshot_0000,floor_0,Smoke,-0.0262,-0.009,0.0452,0.0177,-4.6236,OccupancySurge
snapshot_0000,floor_0,Temperature,25.3899,30.1546,0.1679,1.0164,2.8249,OccupancySurge
snapshot_0000,floor_0,Power,1.1239,1.1912,0.0291,0.2716,4.8263,OccupancySurge
snapshot_0000,floor_0,Power,0.6,0.9147,-0.0056,0.2773,1.3332,OccupancySurge
snapshot_0000,floor_0,CO2,646.697,966.6696,0.0943,94.2146,3.2783,OccupancySurge
snapshot_0000,floor_0,Humidity,40.806,52.0507,0.0451,12.3137,-0.8388,OccupancySurge
snapshot_0000,floor_0,Smoke,0.0156,0.0418,-0.0337,0.031,-0.4372,OccupancySurge
snapshot_0000,floor_0,Power,-0.0067,0.0603,-0.003,0.1815,-2.7116,OccupancySurge
snapshot_0000,floor_0,Motion,0.1653,0.1972,0.0572,0.1464,0.1535,OccupancySurge
snapshot_0000,floor_0,Humidity,59.3339,69.1238,0.0966,15.4162,2.8668,OccupancySurge
snapshot_0000,floor_0,CO2,703.6627,784.7974,0.1748,138.973,4.2277,OccupancySurge
snapshot_0000,floor_0,Temperature,27.2053,30.5378,0.2638,3.3411,4.3378,OccupancySurge
snapshot_0000,floor_0,Smoke,0.0056,0.0097,-0.0748,0.0211,-1.4422,OccupancySurge
snapshot_0000,floor_0,Power,0.2487,0.6645,-0.055,0.172,-1.009,OccupancySurge
snapshot_0000,floor_0,Motion,0.7399,0.9717,0.2048,0.0986,5.8988,OccupancySurge
snapshot_0000,floor_0,Smoke,0.0087,0.0295,-0.2276,0.018,-1.1276,OccupancySurge
snapshot_0000,floor_0,Motion,0.2847,0.4283,-0.1769,0.1182,1.3475,OccupancySurge
snapshot_0000,floor_0,CO2,894.0593,978.9838,0.1677,157.2795,7.401,OccupancySurge
snapshot_0000,floor_0,Temperature,21.7986,23.2717,-0.005,1.4291,-0.1678,OccupancySurge
snapshot_0000,floor_0,Humidity,53.97,64.2676,0.0006,10.3334,1.794,OccupancySurge
snapshot_0000,floor_0,Smoke,0.0377,0.0399,-0.1051,0.011,1.7715,OccupancySurge
snapshot_0000,floor_0,Power,0.6139,0.6154,-0.0614,0.3638,1.4259,OccupancySurge
snapshot_0000,floor_0,Humidity,33.7474,60.0609,-0.0437,13.9243,-2.2505,OccupancySurge
snapshot_0000,floor_0,CO2,969.5523,988.3579,0.0747,171.9335,8.6592,OccupancySurge
snapshot_0000,floor_0,Motion,0.5957,0.9708,0.097,0.3046,4.4567,OccupancySurge
snapshot_0000,floor_0,Smoke,0.0359,0.0605,0.0896,0.0165,1.5901,OccupancySurge
snapshot_0000,floor_0,Humidity,53.7792,62.1281,0.0808,10.4748,1.7558,OccupancySurge
snapshot_0000,floor_0,CO2,595.6252,649.0782,0.2867,148.8915,2.4271,OccupancySurge
snapshot_0000,floor_0,Motion,-0.086,0.1889,-0.1126,0.12,-2.3604,OccupancySurge
snapshot_0000,floor_0,Power,0.6285,0.7673,-0.1306,0.4164,1.523,OccupancySurge
snapshot_0000,floor_0,Temperature,23.362,24.3986,0.1385,2.6866,1.135,OccupancySurge
snapshot_0000,floor_0,Smoke,0.0564,0.1354,-0.1293,0.0186,3.6378,OccupancySurge
snapshot_0000,floor_0,Motion,0.5084,0.6428,0.2884,0.2651,3.5839,OccupancySurge
snapshot_0000,floor_0,Power,0.2647,1.1811,0.1482,0.274,-0.9022,OccupancySurge
snapshot_0000,floor_0,CO2,573.7176,822.1714,0.2422,88.731,2.062,OccupancySurge
snapshot_0000,floor_0,Power,0.2801,0.5127,0.0518,0.3877,-0.7993,OccupancySurge
snapshot_0000,floor_0,Temperature,29.936,31.9005,0.0335,3.8166,6.6133,OccupancySurge
snapshot_0000,floor_0,Motion,0.0303,0.2394,0.0574,0.2387,-1.1973,OccupancySurge
snapshot_0001,floor_1,Humidity,45.5254,53.7949,-0.0559,7.127,0.1051,FireSmoke
